,Gender,Organizes activities with his friends,What are your strengths among these,What activity do you do most frequently?,have difficulty understanding what you have read?,FavoriteSubject,FavoriteGame,IntelligenceType
2028,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Building games or maze games or drawing guess games,Logico Math̩matique
1560,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Individual games,Logico Math̩matique
32,Female,Organizes activities with his friends,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Maths,Individual games,Musical
3611,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies, has the ability to easily recognize birds plants and trees,reacts strongly to controversial opinions,Psychiatrist or Salesman or Counselor,Biology and Earth,Individual games,Intra Personnelle
1950,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Arts,Building games or maze games or drawing guess games,Logico Math̩matique
3619,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Singer or Music Teacher,Music,Sports games,Musical
1708,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,watches movies and views pictures a lot,Artist or Architect,Arts,Puzzle games or strategy games,Spatial
4589,Male,Draws or scribbles drawings and looks at pictures,Read maps charts and graphs without difficulty and is well noticeable,watches movies and views pictures a lot,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
4115,Male,Invent write and tell stories,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
3894,Female,Spend a lot of time outdoors and identifie plants and animals or insects,solve complex problems easily and have the ability to do mental math quickly,watches movies and views pictures a lot,Artist or Architect,Maths,Pet simulator,Logico Math̩matique
2189,Male,Spend a lot of time outdoors and identifie plants and animals or insects, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Mathematics teacher or engineer,Maths,Individual games,Logico Math̩matique
4861,Male,Invent write and tell stories,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Biology and Earth,Scrabble and word games,Linguistic
2084,Female,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,foreign languages,Pet simulator,Linguistic
2116,Male,Listen to music or plays an instrument,Has a good sense of coordination and is skilled in many sporting or physical activities,listens to many styles of music often and repeats the song aloud,Artist or Architect,Physical education,Individual games,Musical
4346,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Music,Puzzle games or strategy games,Musical
2507,Male,Listen to music or plays an instrument,Has a good sense of coordination and is skilled in many sporting or physical activities,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Physical education,Guess the song games,Musical
643,Male,Spend a lot of time outdoors and identifie plants and animals or insects,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Maths,Sports games,Logico Math̩matique
1814,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Maths,Board games or card games,Musical
117,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,foreign languages,Building games or maze games or drawing guess games,Musical
611,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,Participate in social or sports clubs,Mathematics teacher or engineer,Maths,Sports games,Logico Math̩matique
428,Male,Spend a lot of time outdoors and identifie plants and animals or insects,decides for himself what he think to do and tracks his personal interests alone,intereste in the environment in his daily actions and learns new things about nature,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
